,Text,Star,Compound Value,Ground Truth,,
332,"I'm unable to get it to update on or off wifi for months on my new, fully activated an LG Velvet! All I get is a rotating, pending updates circle wheel each time I have tried! It says pending up top and has a grayed out open button that read update prior to tapping it. (I am using my phone in Dark Mode when and where it can apply it). The button was next to a still pressable cancel button! I get infinite loop tapping the red update line in the righthand browser menu in Chrome or via store! Help!",1,1,0,,
333,Not able to update the app from play store 😔,1,1,0,,
334,Will not update 😢,1,1,0,,
335,Video autoplay for sites like Twitter are messed up. Getting a blank white screen unless I switch to fill screen.,1,1,0,,
336,good,1,1,1,,
337,I have looked out on my phone as a security I came with the phone and it came up and gave me a red flag saying that Chrome is a vulnerability fix immediately it's the only one that said that about so I'm deleting my Chrome I'm using brave now,1,1,0,,
338,Man o man am I ever glad I didn't update this app . After reading the reviews I have realized it would not be a good idea to update it. So for now I'm going to stick with the previous version. One would assume that the smart people at Google would do a bit more research before fixing something that isn't broke. For the most part Google has been pretty good for me so I hope the next update will be a little more thought out and have a lot more positive reviews because this one had practically none,1,1,0,,
339,Very nice 👌👌😊👌👌👌👌👌👌👌👌👌👌👌👌 you have you,1,1,1,,
340,"I don't know why there is a need to update a thing that's worling totally fine. I am on a tablet and the chrome works really bad after the update. I got a tip for those who *accidently* updated chrome. Uninstall it and then don't update again And for the people with pc browser, use Brave browser, it is really nice working browser better than chrome nowadays. (No promo) And this is for the devs,🖕",1,1,0,,
341,Whoever approved the new UI changes definitely forgot to check UX. 0 rating on the New UX.,1,1,0,,
342,Google is always safe,1,1,1,,
343,"Why it's not updating from play store ??? Also why it's not removing or deleting ??? Dear team, Plz sort out otherwise I will give zero rating",1,1,0,,
344,"Worked just as desired until the update that forced tab groups. I don't want or need groups, so please give us the option of doing this instead of forcing it on us. At least give me the option to open a link into the same tab group. Why does it only give the option to open in a new group?! Google chrome? More like Google fail. Looks like it's back to Firefox until this gets resolved again.",1,1,0,,
345,I am unable to update it ..tried many times but same result .kindly help me out,1,1,0,,
346,God is grt,1,1,0,,
347,"Buggy as of Feb 2021. Many sites don't work or the app freezes. Took away desktop mode before you ask for a web page when adding a new tab so sites send you to Google play store and they don't give you a chance to use them in desktop mode, New bugs especially in page organizing functions. If they fix all the recent bugs created in the past 2 months & had the ability to save websites to view later or open in the background like Firefox it would get 5 stars",1,1,0,,
348,"Grouped tabs on a phone, I love having to squint to see what used to be easy to flip between. And no way to turn it off.",1,1,0,,
349,My app has simply refused to update. I press the update button and it does nothing . So I guess injyst disable and use a different browser? Very sad because I live Chrome. But I've been unable to update for the past 4 devices.. what gives? Please help. Thanks,1,1,0,,
350,My l know to remember to back and minds it allegedly is fruad from Chrome a delay.,1,1,0,,
351,It keeps telling me I have an update but will not update no matter how many times I try and it is messing with my phone. Please fix this.,1,1,0,,
352,Absolutely nothing loads. I lost everything I was searching for and had saved. It force quits whenever I open it. I tried uninstalling the update and restarting and it's still garbage.,1,1,0,,
353,👌,1,1,1,,
354,Always frozen... I've clear app cache and data about 20 times but search something in the address bar it is still frozen...,1,1,0,,
355,"Nevermind my issue was not fixed with recent update; still reloads last page after starting a new search. The change to the tabs section is what's preventing 5, stars, like grouped tabs, are people gonna open like 6 groups of 10 tabs each with a different category? I just wish I could switch that back it's just useless and annoying but looks like I gotta switch browsers instead 🤷 opera here I come least there I don't have to see celebrity gossip labeled as ""news""",1,1,0,,
356,Cant update to new version 😔,1,1,0,,
357,Went from amazing to garbage. After the last update it will no longer refresh or load any relevant news. Just a few repetitive junk news articles. Please fix this garbage update.,1,1,0,,
358,"Get rid of the tabs! Looks like the people at Google who design the GUI for the Chrome browser have never heard the saying, ""If it ain't broke don't fix it."" I was just fine with a list of tabs to flip through like it used to be up till a few days ago. I don't need mini views of each open page to remind me what I've been doing - I'm not an idiot - and I definitely don't need a piece of my screen real estate taken over to show me what tabs belong to the group. This is a ""feature"" no one needs.",1,1,0,,
359,Nice app,1,1,0,,
360,I couldn't able to update my chrome from past 1 year.. please help,1,1,0,,
361,Can't even update it what a lol kind of app!!,1,1,0,,
362,Cant believe that I cannot change the way for creating a new tab. I want to use the old version because it is easy to open website in a new tab than this current version. poor App and now I cant stand anymore. Bye google chrome.,1,1,0,,
363,I am not able to update chrome. I don't know what's the reason. I what to do. Please reply.,1,1,0,,
364,My chrome is not getting updated. When I try to update it is cancel automatically. Hope this will get fixed for me.,1,1,0,,
365,Help,1,1,0,,
366,Wont even install. Has been trying to install for days and continuously freezes. Pretty dissapointing.,1,1,0,,
367,Please add dark mode like samsung browser,1,1,0,,
368,Why I can't install the latest version of Chrome..... it's showing here to update but not starting 😭,1,1,0,,
369,Ok,1,1,1,,
370,"It was fine until the last update, it takes forever to load",1,1,0,,
371,"How to disable tab groups: Open Chrome Type, ""chrome://flags/"" Search, ""Tab Groups"" Disable results. Profit.",1,1,0,,
372,Awesome,1,1,1,,
373,This version is not getting updated on this Honor 10 device.,1,1,0,,
374,Nice,1,1,1,,
375,"The recent update made it rubbish, I switched to another browser , but still have chrome in mobile either fix it or users like me will uninstall it",1,1,0,,
376,Chrome is not update option so please tell me,1,1,0,,
377,It worked great but for some reason there are days it completely crashes and I can't use it! So i have to use other browser apps that don't have any of my bookmarks and tabs that were opened when chrome was working!,1,1,0,,
378,"I can't update the app , I click on update button then pending and loading sign appears then it automatically cancelled the update. Kindly resolve this problem.",1,1,0,,
379,Need improvement,1,1,0,,
380,This aap is worst of all time Why is this app in my phone.. I want to to delete this app form my phone * 😁😁,1,1,0,,
381,Nice,1,1,1,,
382,"I specifically remember asking Google for help due to my information being stolen and I asked for a"" security key "" I ended up using the one that is built in to the phone, however when I had to factory so now I cannot get it to my Google account and reset it, I guess I reset the security key too ALL OF MY PERSONAL DATA AND INFORMATION IS IN THE ACCOUNT,, MY NAME AND SOCIAL SECURITY NUMBER ARE FLAGGED FOR IDENTITY THEFT, I'M SAYING THAT I WILL File a claim against Google ,",1,1,0,,
383,Heart of 6 mobile,1,1,1,,
384,Never had a problem with this app unitl recently. Not working properly and I can not update this app. 😔😔😔,1,1,0,,
385,The app was working great until this recent update. It gets crashing nd the screen stops working in between while using this app. Google should look into it and resolve this ASAP. Not expected this kind of update from Google,1,1,0,,
386,Good,1,1,1,,
387,Good app,1,1,1,,
388,Its good,1,1,1,,
389,👌👌,1,1,0,,
390,Im not able to update chrome on my mobile please fix the issue,1,1,0,,
391,Microsoft gang forever 😤💙,1,1,0,,
392,"Chrome is good, I trust this update will make it better.",1,1,1,,
